Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
34,No,Travel_Rarely,Research & Development,1,Medical,Male,5,Research Scientist,1,Married,20000,No,3,33,1,1,33,4
21,No,Non-Travel,Human Resources,4,Life Sciences,Female,1,Manager,1,Married,6698,No,3,4,4,4,1,1
42,No,Non-Travel,Research & Development,2,Human Resources,Female,1,Research Director,2,Divorced,9731,No,3,23,0,1,4,4
38,No,Travel_Rarely,Research & Development,1,Other,Male,3,Healthcare Representative,1,Divorced,15507,No,3,28,1,2,9,9
54,No,Non-Travel,Sales,2,Marketing,Male,5,Sales Executive,1,Married,19000,No,3,31,0,4,31,7
55,No,Travel_Rarely,Sales,1,Other,Female,1,Sales Representative,3,Single,9967,No,3,25,0,3,12,12
18,No,Travel_Rarely,Sales,2,Marketing,Female,3,Manager,2,Married,15014,Yes,3,39,0,4,38,18
42,No,Travel_Rarely,Human Resources,4,Other,Female,4,Manager,1,Single,13099,No,3,4,0,1,4,4
53,No,Travel_Frequently,Research & Development,4,Technical Degree,Female,5,Research Scientist,1,Single,15685,Yes,3,9,6,4,9,6
34,No,Travel_Rarely,Research & Development,2,Technical Degree,Male,4,Research Director,4,Married,19435,No,3,24,3,4,9,4
58,Yes,Travel_Rarely,Sales,1,Other,Female,1,Sales Representative,4,Divorced,10535,Yes,3,37,3,1,37,17
41,No,Non-Travel,Human Resources,3,Marketing,Male,5,Manager,4,Divorced,17600,No,3,39,6,3,26,1
19,Yes,Travel_Rarely,Research & Development,4,Marketing,Male,3,Laboratory Technician,1,Married,15891,No,3,20,4,2,20,10
57,Yes,Non-Travel,Sales,4,Medical,Male,1,Sales Executive,1,Married,10206,Yes,3,18,3,4,7,7
32,No,Travel_Rarely,Sales,3,Life Sciences,Male,5,Sales Executive,4,Single,16691,No,3,0,5,3,0,0
49,No,Non-Travel,Sales,2,Life Sciences,Male,5,Sales Executive,3,Single,19000,Yes,4,27,6,2,27,11
56,No,Travel_Rarely,Sales,1,Human Resources,Male,4,Sales Executive,3,Single,17712,No,3,38,1,1,38,1
23,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,3,Married,7342,No,3,13,5,3,13,13
